word,part_of_speech,status,other_forms,approved_meaning,approved_alternatives,alternatives_raw,guidance,ste_examples,non_ste_examples,page
impregnate,v,Non-STE (not approved),,,SOAK (v),SOAK (v),,SOAK THE FILTER ELEMENTS IN OIL.,The filter elements must be impregnated with oil.,2-1-I4
impression,n,Non-STE (not approved),,,THINK (v),THINK (v),,"IF YOU THINK THAT A TIRE HAS LOW PRESSURE, DO THE STEPS THAT FOLLOW:","If you have the impression that a tire has low pressure, do the steps that follow:",2-1-I4
improper,adj,Non-STE (not approved),,,INCORRECT (adj),INCORRECT (adj),,INCORRECT ADJUSTMENT OF THE STOP BOLTS ON THE RUDDER PEDALS CAN CAUSE DAMAGE.,Improper adjustment of the stop bolts on the rudder pedals can cause damage.,2-1-I4
improperly,adv,Non-STE (not approved),,,INCORRECTLY (adv),INCORRECTLY (adv),,"IF THE HINGE IS INCORRECTLY ADJUSTED, YOU CANNOT CLOSE THE PANEL.","If the hinge is improperly adjusted, the panel will not close.",2-1-I4
improve,v,Non-STE (not approved),,,BETTER (adj),BETTER (adj),,DO NOT ADJUST THE PARTS AGAIN TO MAKE THEIR POSITION BETTER.,Do not readjust the parts to improve their position.,2-1-I4
impurity,n,Non-STE (not approved),,,UNWANTED MATERIAL | CONTAMINATION (n),UNWANTED MATERIAL CONTAMINATION (n),,USE A FILTER TO REMOVE UNWANTED MATERIAL FROM THE HYDRAULIC OIL. | CONTAMINATION CAN CAUSE A FAILURE.,Filter the hydraulic oil to remove impurities. | Impurities may cause a failure.,2-1-I4
IN,adv,STE (approved),,"To, or into a location or position",,"To, or into a location or position",,MAKE SURE THAT THE SWITCHES ARE PUSHED IN.,,2-1-I4
IN,prep,STE (approved),,"Function word that shows location, position, condition, time, or limits",,"Function word that shows location, position, condition, time, or limits",,LET THE SWITCH STAY IN THE SET POSITION. | THE COMPENSATORS ARE IN THE WING BAY. | DO NOT PARK THE VEHICLE IN STRONG WINDS. | MAKE SURE THAT THE LIGHT COMES ON IN 5 SECONDS. | MAKE SURE THAT THE CRACKS ARE IN THE LIMITS.,,2-1-I5
IN FRONT OF,prep,STE (approved),,In a position ahead of,,In a position ahead of,,PUT CHOCKS IN FRONT OF THE WHEELS.,,2-1-I5
IN PROGRESS,adv,STE (approved),,Occurring,,Occurring,,"IF AN INTERACTIVE SESSION IS IN PROGRESS, LET IT CONTINUE UNTIL IT IS FULLY COMPLETED.",,2-1-I5
inactive,adj,Non-STE (not approved),,,NOT ACTIVE,NOT ACTIVE,,THE AUTOTHRUST SYSTEM IS ENGAGED BUT IT IS NOT ACTIVE.,The autothrust system is engaged but inactive.,2-1-I5
inadvertent,adj,Non-STE (not approved),,,ACCIDENTAL (adj),ACCIDENTAL (adj),,ACCIDENTAL OPERATION OF THE SYSTEM CAN KILL YOU.,Inadvertent operation of the system could cause fatal injuries.,2-1-I5
inadvertently,adv,Non-STE (not approved),,,ACCIDENTALLY (adv),ACCIDENTALLY (adv),,"IF YOU ACCIDENTALLY PUT TOO MUCH FUEL IN THE TANK, OPEN THE DRAIN VALVE.","If the tank is inadvertently overfilled, open the drain valve.",2-1-I6
INBOARD,adj,STE (approved),,Nearer to the longitudinal axis,,Nearer to the longitudinal axis,,REMOVE THE INBOARD FAIRING OF THE FLAP HINGE.,,2-1-I6
INBOARD,adv,STE (approved),,In or to a position nearer to the longitudinal axis,,In or to a position nearer to the longitudinal axis,,THE LANDING GEAR RETRACTS INBOARD INTO THE BAY.,,2-1-I6
INBOARD OF,prep,STE (approved),,At a position nearer to the longitudinal axis,,At a position nearer to the longitudinal axis,,PUT THE ACCESS PLATFORM IN POSITION BELOW THE ACCESS PANEL THAT IS INBOARD OF THE FLAP TRACK.,,2-1-I6
INCIDENT,n,STE (approved),,An important occurrence that can cause damage or have dangerous results,,An important occurrence that can cause damage or have dangerous results,,RECORD ALL INCIDENTS OF WATER FOUND IN THE FUEL.,,2-1-I6
incline,n,Non-STE (not approved),,,SLOPE (n),SLOPE (n),,YOU CAN ADJUST THE SLOPE OF THE RAMP.,You can adjust the incline of the ramp.,2-1-I6
INCLUDE,v,STE (approved),"INCLUDES, INCLUDED, INCLUDED","To make, or to be, part of",,"To make, or to be, part of",,THIS CHAPTER INCLUDES THE PROCEDURES FOR THE REMOVAL OF THE COMPONENTS.,,2-1-I6
including,prep,Non-STE (not approved),,,THRU (prep) | WITH (prep),THRU (prep) WITH (prep),,"DO TESTS 4 THRU 8 AGAIN. | SEND THE DEFECTIVE COVER, WITH THE OIL SAMPLES, TO THE REPAIR CENTER.","Repeat from test 4 up to and including test 8. | Return the defective cover, including the oil samples, to the repair center.",2-1-I6
incompatible,adj,Non-STE (not approved),,,NOT COMPATIBLE,NOT COMPATIBLE,,THIS SOFTWARE IS NOT COMPATIBLE WITH OTHER OPERATING SYSTEMS. | THIS COOLANT IS NOT COMPATIBLE WITH ALUMINUM ALLOYS.,This software is incompatible with other operating systems. | This coolant is incompatible with aluminum alloys.,2-1-I6
incomplete,adj,Non-STE (not approved),,,NOT FULL NOT COMPLETED | ALL (adj),NOT FULL NOT COMPLETED ALL (adj),,"IF THE ACTUATOR TRAVEL IS NOT FULL, ADJUST THE RODS AGAIN. | IF THE ADJUSTMENT IS NOT COMPLETED, THE VALUES SHOWN ON THE INDICATOR WILL BE INCORRECT. | IF YOU DO NOT HAVE ALL THE RESULTS, DO THE TEST AGAIN.","If the actuator travel is incomplete, readjust the rods. | If the adjustment is incomplete, the values shown on the indicator will be incorrect. | If the results are incomplete, do the test again.",2-1-I7
incorporate,v,Non-STE (not approved),,,INCLUDE (v) | HAVE (v),INCLUDE (v) HAVE (v),,ALL MODELS INCLUDE A MICROPROCESSOR CONTROL UNIT. | SOME RELAYS HAVE A POTENTIOMETER.,All models incorporate a microprocessor control unit. | Some relays incorporate a potentiometer.,2-1-I7
incorporation,n,Non-STE (not approved),,,INCLUDE (v),INCLUDE (v),,THE MANUFACTURER INCLUDED A SECOND DIODE TO INCREASE THE RELIABILITY OF THE MOTOR.,Incorporation of a second diode increased the reliability of the motor.,2-1-I7
INCORRECT,adj,STE (approved),,Not correct,,Not correct,,"IF THE TRIM TAB ADJUSTMENT IS INCORRECT, DO STEPS 7 THRU 10.",,2-1-I7
INCORRECTLY,adv,STE (approved),,In an incorrect manner,,In an incorrect manner,,"IF YOU SEE THE RED MARK, THE PART IS INSTALLED INCORRECTLY.",,2-1-I7
increase,n,Non-STE (not approved),,,INCREASE (v),INCREASE (v),,THE TEMPERATURE MUST INCREASE.,There must be an increase in temperature.,2-1-I8
INCREASE,v,STE (approved),"INCREASES, INCREASED, INCREASED",To make or become larger or higher in value,,To make or become larger or higher in value,,INCREASE THE VANE ANGLE TO 90 DEGREES. | MAKE SURE THAT THE TEMPERATURE INCREASES TO 30 °C.,,2-1-I8
INCREMENT,n,STE (approved),,"One of a sequence of regular operations done one after the other, to increase or decrease an adjustable quantity",,"One of a sequence of regular operations done one after the other, to increase or decrease an adjustable quantity",,ADJUST THE STOP BOLT IN INCREMENTS OF 5 mm.,,2-1-I8
incur,v,Non-STE (not approved),,,CAUSE (v),CAUSE (v),,REMOVAL OF THE UNIT BEFORE 24 HOURS CAN CAUSE DAMAGE.,Removal of the unit before 24 hours can incur damage.,2-1-I8
independent,adj,Non-STE (not approved),,,INDEPENDENTLY (adv),INDEPENDENTLY (adv),,THIS UNIT OPERATES INDEPENDENTLY.,The operation of this unit is independent.,2-1-I8
INDEPENDENTLY,adv,STE (approved),,Without a relation with,,Without a relation with,,THE EMERGENCY SYSTEM IS CONTROLLED INDEPENDENTLY.,,2-1-I8
indicate,v,Non-STE (not approved),,,SHOW (v) | IDENTIFY (v) | SPECIFIED (adj),SHOW (v) IDENTIFY (v) SPECIFIED (adj),,"THE POINTER SHOWS ZERO FEET. | A 406 MHz DIGITAL SIGNAL IDENTIFIES THE EMERGENCY LOCATOR TRANSMITTER AND ITS LOCATION. | IF TOLERANCES ARE NOT SPECIFIED, REFER TO GENERAL TOLERANCE VALUES.","The pointer indicates zero feet. | A 406 MHz digital signal indicates the emergency locator transmitter and its location. | If tolerances are not indicated, refer to general tolerance values.",2-1-I8
INDICATION,n,STE (approved),,Something that is shown,,Something that is shown,,MAKE SURE THAT THE INDICATION IS CORRECT.,,2-1-I8
induce,v,Non-STE (not approved),,,CAUSE (v),CAUSE (v),,SCRATCHES IN THE WINDSCREEN CAN CAUSE CRACKS.,Scratches in the windscreen may induce cracks.,2-1-I8
ineffective,adj,Non-STE (not approved),,,UNSERVICEABLE (adj) | UNSATISFACTORY (adj) | NOT OPERATE,UNSERVICEABLE (adj) UNSATISFACTORY (adj) NOT OPERATE,,"IF THE PUMP IS UNSERVICEABLE, REPLACE IT. | IF THE OPERATION OF THE PUMP IS UNSATISFACTORY, REPLACE IT. | IF THE PUMP DOES NOT OPERATE CORRECTLY, REPLACE IT.","If the pump is ineffective, replace it. | If the operation of the pump is ineffective, replace it. | If the pump is ineffective, replace it.",2-1-I9
inflammable,adj,Non-STE (not approved),,,FLAMMABLE (adj),FLAMMABLE (adj),,SOLVENT IS VERY FLAMMABLE.,Solvent is highly inflammable.,2-1-I9
INFLATE,v,STE (approved),"INFLATES, INFLATED, INFLATED",To make or become larger as a result of pressurization by a gas,,To make or become larger as a result of pressurization by a gas,,"INFLATE THE TIRES WITH NITROGEN. | OPERATION OF THE HANDLE RELEASES THE GAS, AND THE SLIDE-RAFT INFLATES.",,2-1-I9
inform,v,Non-STE (not approved),,,TELL (v),TELL (v),,TELL THE MANUFACTURER ABOUT THE PROBLEM.,Inform the manufacturer about the problem.,2-1-I9
INFORMATION,n,STE (approved),,Data collected and made available for a specified function,,Data collected and made available for a specified function,,THIS MANUAL CONTAINS INFORMATION ABOUT MAINTENANCE PROCEDURES.,,2-1-I9
ingest,v,Non-STE (not approved),,,SWALLOW (v),SWALLOW (v),,"IF YOU SWALLOW HYDRAULIC FLUID, GET MEDICAL AID IMMEDIATELY.","If you ingest hydraulic fluid, get medical aid immediately.",2-1-I9
ingress,n,Non-STE (not approved),,,GO INTO,GO INTO,,"IF WATER GOES INTO THE COMPONENT, DAMAGE WILL OCCUR.",Water ingress will damage the component.,2-1-I9
inhale,v,Non-STE (not approved),,,BREATHE (v),BREATHE (v),,DO NOT BREATHE THE SOLVENT FUMES.,Do not inhale the solvent fumes.,2-1-I10
inhibit,v,Non-STE (not approved),,,PREVENT (v),PREVENT (v),,ALODINE PREVENTS CORROSION.,Alodine inhibits corrosion.,2-1-I10
INITIAL,adj,STE (approved),,That is related to the start,,That is related to the start,,MOVE THE LEVER BACK TO ITS INITIAL POSITION.,,2-1-I10
INITIALLY,adv,STE (approved),,At the start,,At the start,,"INITIALLY, THE SPEED INCREASES TO 3000 RPM.",,2-1-I10
initiate,v,Non-STE (not approved),,,START (v),START (v),,START THE TEST AT 2000 RPM.,Initiate the test at 2000 rpm.,2-1-I10
inject,v,Non-STE (not approved),,,PUT (v),PUT (v),,PUT OIL INTO THE GEARBOX WITH A SYRINGE.,Inject oil into the gearbox with a syringe.,2-1-I10
injection,n,Non-STE (not approved),,,PUT (v),PUT (v),,PUT THE CORROSION PREVENTIVE OIL INTO THE PUMP WITH A SYRINGE.,The injection of the corrosion preventive oil into the pump must be done with a syringe.,2-1-I10
injure,v,Non-STE (not approved),,,INJURY (n),INJURY (n),,MAKE SURE THAT THE END OF THE SAFETY WIRE WILL NOT CAUSE INJURY TO PERSONS.,Make sure that the end of the safety wire will not injure persons.,2-1-I10
INJURY,n,STE (approved),,Damage to a person,,Damage to a person,,BEND THE ENDS OF THE LOCKING WIRE TO PREVENT INJURY.,,2-1-I10
INNER,adj,STE (approved),,Nearer to the center of an object,,Nearer to the center of an object,,THE INNER SURFACE OF THE PART IS BLACK.,,2-1-I10
inoperative,adj,Non-STE (not approved),,,OFF (adj) | NOT OPERATE,OFF (adj) NOT OPERATE,,"BEFORE YOU DRAIN THE FUEL, MAKE SURE THAT THE SYSTEM IS OFF. | MAKE SURE THAT THE DEMISTING SYSTEM DOES NOT OPERATE.","Before you drain the fuel, make sure that the system is inoperative. | Make sure that the demisting system is inoperative.",2-1-I10
INPUT,n,STE (approved),,"The data, power, or energy put into equipment or a system",,"The data, power, or energy put into equipment or a system",,THE UNIT COMPARES THE INPUTS FROM THE TWO SENSORS TO THE COMPUTER.,,2-1-I10
insert,v,Non-STE (not approved),,,PUT (v) | ENGAGE (v),PUT (v) ENGAGE (v),,PUT THE SLEEVE INTO THE OPENING. | MAKE SURE THAT THE SHAFT ENGAGES IN THE MATING PART.,Insert the sleeve into the opening. | Check that the shaft is inserted in the mating part.,2-1-I11
inside,adj,Non-STE (not approved),,,INNER (adj),INNER (adj),,CLEAN THE INNER SURFACE OF THE CONTAINER.,Clean the inside surface of the container.,2-1-I11
inside,n,Non-STE (not approved),,,INNER (adj),INNER (adj),,PAINT THE INNER SURFACE OF THE PUMP ASSEMBLY.,Paint the inside surface of the pump assembly.,2-1-I11
inside,prep,Non-STE (not approved),,,IN (prep) | INTO (prep),IN (prep) INTO (prep),,"THERE MUST BE LUBRICANT IN THE HOLE. | BEFORE YOU PUT THE TOOLS INTO THE STORAGE BOX, MAKE SURE THAT THEY HAVE THE NECESSARY PROTECTIVE COVERS.","There must be lubricant inside the hole. | Before you place the tools inside the storage box, make sure they have suitable protective covers.",2-1-I11
inspect,v,Non-STE (not approved),,,EXAMINE (v) | INSPECTION (n),EXAMINE (v) INSPECTION (n),,EXAMINE ALL THE DRAIN HOLES. | DO AN INSPECTION OF THE WORK.,Inspect all the drain holes. | Inspect the work.,2-1-I11
INSPECTION,n,STE (approved),,The procedure which compares an object with its standard or specification,,The procedure which compares an object with its standard or specification,,USE A VOLTMETER TO DO THIS INSPECTION.,,2-1-I11
INSTALL,v,STE (approved),"INSTALLS, INSTALLED, INSTALLED",To attach an item in or to a second item,,To attach an item in or to a second item,,INSTALL THE NEW O-RINGS ON THE SPINDLE.,,2-1-I11
INSTALLATION,n,STE (approved),,The procedure which installs an item,,The procedure which installs an item,,REFER TO PARAGRAPH 3 FOR THE INSTALLATION OF THE UNIT.,,2-1-I11
instead,adv,Non-STE (not approved),,,ALTERNATIVE (n),ALTERNATIVE (n),,USE A SPATULA AS AN ALTERNATIVE.,Use a spatula instead.,2-1-I11
instead of,prep,Non-STE (not approved),,,ALTERNATIVE (n),ALTERNATIVE (n),,YOU CAN USE A CLEAN PLASTIC BAG AS AN ALTERNATIVE TO THE SPECIFIED CONTAINER.,You can use a clean plastic bag instead of the specified container.,2-1-I12
INSTRUCTION,n,STE (approved),,A command that you must obey,,A command that you must obey,,"IF YOU DO NOT OBEY THIS INSTRUCTION, DAMAGE CAN OCCUR.",,2-1-I12
INSTRUMENT,n,STE (approved),,An item which measures and/or shows,,An item which measures and/or shows,,ALL THE INSTRUMENTS ARE ON THE LEFT QUARTER PANEL.,,2-1-I12
insufficient,adj,Non-STE (not approved),,,NOT SUFFICIENT,NOT SUFFICIENT,,"IF THIS STEP IS NOT SUFFICIENT TO STOP THE LEAKAGE, REPLACE THE ACTUATOR.","If this step is insufficient to stop the leakage, replace the actuator.",2-1-I12
INSULATION,n,STE (approved),,A material that helps to prevent the movement of energy,,A material that helps to prevent the movement of energy,,MAKE SURE THAT YOU DO NOT CAUSE DAMAGE TO THE INSULATION.,,2-1-I12
insure,v,Non-STE (not approved),,,MAKE SURE (v),MAKE SURE (v),,MAKE SURE THAT THE WORK BENCH IS CLEAN.,Insure that the work bench is clean.,2-1-I12
intact,adj,Non-STE (not approved),,,NOT DAMAGED,NOT DAMAGED,,MAKE SURE THAT THE WINDSCREEN IS NOT DAMAGED.,Make sure the windscreen is intact.,2-1-I12
integral,adj,Non-STE (not approved),,,PART (n),PART (n),,THE PIN IS A PART OF THE PUMP.,The pin is integral with the pump.,2-1-I12
INTENSITY,n,STE (approved),,"The quantity of strength, force, or energy",,"The quantity of strength, force, or energy",,OPERATE THE DIMMER SWITCH AND MAKE SURE THAT THE INTENSITY OF THE LIGHT CHANGES.,,2-1-I12
INTERCHANGE,v,STE (approved),"INTERCHANGES, INTERCHANGED, INTERCHANGED",To put or use each of two things in the place of the other without change,,To put or use each of two things in the place of the other without change,,INTERCHANGE THE No. | 1 AND No. | 2 COMPUTERS. | THEN DO THE TEST AGAIN.,,2-1-I12
INTERCHANGEABLE,adj,STE (approved),,That you can interchange,,That you can interchange,,RELAYS 2YG AND 8YG ARE FULLY INTERCHANGEABLE ITEMS.,,2-1-I13
interconnect,v,Non-STE (not approved),,,CONNECT (v),CONNECT (v),,THE PIPES CONNECT SYSTEM A TO SYSTEM B.,The pipes interconnect system A and system B.,2-1-I13
INTERFACE,n,STE (approved),,The connection between two systems or components,,The connection between two systems or components,,CLEAN THE INTERFACE BETWEEN THE COMPUTER AND THE SENSOR.,,2-1-I13
interfere,v,Non-STE (not approved),,,HIT (v) | CATCH (v) | TOUCH (v) | INTERFERENCE (TN),HIT (v) CATCH (v) TOUCH (v) INTERFERENCE (TN),,"IF YOU INSTALL THE UPPER DRAG STRUT WITH THE HEAD DOWN, IT WILL HIT THE LOWER DRAG STRUT DURING RETRACTION. | MAKE SURE THAT THE RODS CANNOT CATCH ON THE FLAPS. | IF THE BRACKET TOUCHES THE PLATE, REMOVE THE UNWANTED MATERIAL WITH A FILE. | MAKE SURE THAT THERE IS NO INTERFERENCE BETWEEN THE RADAR AND THE TACTICAL AIR NAVIGATION SYSTEM (TACAN).","Placing the upper drag strut upside down makes it interfere with the lower drag strut. | Make sure the rods cannot interfere with the flaps. | Should the bracket interfere with the plate, remove surplus material with a file. | Ensure that the radar does not interfere with the Tactical Air Navigation System (TACAN).",2-1-I13
interference,n,Non-STE (not approved),,,HIT (v) | CATCH (v) | TOUCH (v),HIT (v) CATCH (v) TOUCH (v),This word can be a technical noun or part of a technical noun.,"IF YOU INSTALL THE UPPER DRAG STRUT WITH THE HEAD DOWN, IT WILL HIT THE LOWER DRAG STRUT DURING RETRACTION. | MAKE SURE THAT THE RODS CANNOT CATCH ON THE FLAPS. | MAKE SURE THAT THE LOCKING WIRE DOES NOT TOUCH THE LEVER. | MAKE SURE THAT YOU DO NOT HEAR INTERFERENCE IN THE 400 Hz BAND. | INTERFERENCE BOLTS ATTACH THE STRAP AND THE BOTTOM SKIN PANEL TO THE TRIFORM MEMBER.",Placing the upper drag strut upside down causes interference with the lower drag strut. | Make sure that there is no interference between the rods and the flaps. | Ensure that there is no interference between the locking wire and the lever.,2-1-I14
interior,n,Non-STE (not approved),,,INTERNALLY (adv) | INTERNAL (adj),INTERNALLY (adv) INTERNAL (adj),,EXAMINE THE TANK INTERNALLY. | APPLY A SMALL QUANTITY OF LUBRICANT TO THE INTERNAL SIDE OF THE VALVE HOUSING.,Examine the interior of the tank. | Apply a small quantity of lubricant to the interior of the valve housing.,2-1-I14
intermediate,adj,Non-STE (not approved),,,MIDDLE (adj) | BETWEEN (prep),MIDDLE (adj) BETWEEN (prep),Give the limits.,"PUT THE LEVER IN THE MIDDLE POSITION. | WHEN THE INPUT LEVER IS BETWEEN 5 AND 10 mm, MEASURE THE PISTON EXTENSION.","Put the lever in intermediate position. | When the input lever is in an intermediate position, measure the piston extension.",2-1-I14
INTERMITTENT,adj,STE (approved),,"That stops and starts again, not continuous",,"That stops and starts again, not continuous",,THIS CAUSES INTERMITTENT OPERATION OF THE WARNING LIGHTS.,,2-1-I15
INTERMITTENTLY,adv,STE (approved),,In an intermittent manner,,In an intermittent manner,,THE LIGHT COMES ON INTERMITTENTLY.,,2-1-I15
INTERNAL,adj,STE (approved),,"Of, or on, the inner side and inner space",,"Of, or on, the inner side and inner space",,MAKE SURE THAT FUEL COMES OUT OF THE INTERNAL EJECTORS.,,2-1-I15
INTERNALLY,adv,STE (approved),,"Of, or on, the inner side and inner space",,"Of, or on, the inner side and inner space",,USE A BORESCOPE TO EXAMINE THE COMBUSTOR INTERNALLY.,,2-1-I15
interrupt,v,Non-STE (not approved),,,STOP (v),STOP (v),,DO NOT STOP THE TEST.,Do not interrupt the test.,2-1-I15
intersect,v,Non-STE (not approved),,,INTERSECTION (TN),INTERSECTION (TN),,DRILL A HOLE AT THE INTERSECTION OF THE TWO LINES.,Drill a hole where the two lines intersect.,2-1-I15
INTERVAL,n,STE (approved),,A distance or gap between two points in space or time,,A distance or gap between two points in space or time,,DO THE TEST AT FIVE-MINUTE INTERVALS.,,2-1-I15
INTO,prep,STE (approved),,"1. Movement to something and access to it 2. Function word that shows change, condition, result",,"1. Movement to something and access to it 2. Function word that shows change, condition, result",,"IF AN OBJECT FALLS INTO THE OPENING, DAMAGE TO THE ENGINE CAN OCCUR. | THE PARTS OF THE STRUCTURE ARE DIVIDED INTO THREE GROUPS.",,2-1-I15
investigate,v,Non-STE (not approved),,,INVESTIGATION (n),INVESTIGATION (n),,DO AN INVESTIGATION TO FIND THE CAUSE OF THE FUEL LEAKAGE.,Investigate the cause of the fuel leakage.,2-1-I15
INVESTIGATION,n,STE (approved),,An official and accurate inquiry or research,,An official and accurate inquiry or research,,THE TASK TEAM STARTED THE INVESTIGATION TO FIND THE CAUSE OF THE ACCIDENT.,,2-1-I15
inward,adj,Non-STE (not approved),,,INNER (adj),INNER (adj),,MEASURE THE INNER DIAMETER OF THE HOLE.,Measure the inward diameter of the hole.,2-1-I16
inward,adv,Non-STE (not approved),,,IN (adv),IN (adv),,MOVE THE DOOR IN AND REARWARD.,Move the door inward and rearward.,2-1-I16
IRREGULAR,adj,STE (approved),,Not regular,,Not regular,,"IF THE SIGNALS ARE IRREGULAR, REPLACE THE UNIT.",,2-1-I16
irregularity,n,Non-STE (not approved),,,DAMAGE (n) | DEFECT (TN) | IRREGULAR (adj) | UNUSUAL (adj),DAMAGE (n) DEFECT (TN) IRREGULAR (adj) UNUSUAL (adj),,"THERE MUST BE NO DAMAGE TO THE SURFACE FINISH. | THERE MUST BE NO DEFECTS IN THE SURFACE FINISH. | IF YOU GET IRREGULAR RESULTS, DO THE TEST AGAIN. | IF YOU GET UNUSUAL RESULTS, DO THE TEST AGAIN.","There must be no irregularities in the surface finish. | There must be no irregularities in the surface finish. | If you get irregularities in the results, do the test again. | If you get irregularities in the results, do the test again.",2-1-I16
IRREGULARLY,adv,STE (approved),,Not regularly,,Not regularly,,"IF THE UNIT RECEIVES THE SIGNALS IRREGULARLY, REPLACE IT.",,2-1-I16
ISOLATE,v,STE (approved),"ISOLATES, ISOLATED, ISOLATED",To prevent a supply or connection to,,To prevent a supply or connection to,,ISOLATE THE ELECTRICAL POWER SUPPLY.,,2-1-I16
isolation,n,Non-STE (not approved),,,ISOLATE (v),ISOLATE (v),,ISOLATE SYSTEM No. | 1 TO DO THE LEAKAGE CHECKS.,Isolation of system No. | 1 is necessary to do the leakage checks.,2-1-I16
IT,pron,STE (approved),,1. That refers to a thing that was previously mentioned 2. That refers to an explicit or implicit state of affairs or circumstances,,1. That refers to a thing that was previously mentioned 2. That refers to an explicit or implicit state of affairs or circumstances,,CAREFULLY MOVE THE DEFLECTOR UNIT DOWN UNTIL IT ENGAGES. | IT IS IMPORTANT TO DO THIS ADJUSTMENT CORRECTLY.,,2-1-I16
ITEM,n,STE (approved),,A thing that is determined or specified,,A thing that is determined or specified,,LUBRICATE THESE ITEMS WITH GREASE.,,2-1-I16
ITS,adj,STE (approved),,Belonging to a thing,,Belonging to a thing,,REMOVE THE UNIT AND ITS WIRING.,,2-1-I16
jack,v,Non-STE (not approved),,,JACK (TN),JACK (TN),,DO NOT LIFT THE AIRCRAFT ON JACKS IF THE WIND SPEED IS MORE THAN 20 MPH.,Do not jack the aircraft if the wind speed exceeds 20 mph.,2-1-J1
jam,v,Non-STE (not approved),,,FREELY (adv),FREELY (adv),,MAKE SURE THAT THE VALVE SPINDLE MOVES FREELY.,Check that the valve spindle does not bind or jam.,2-1-J1
job,n,Non-STE (not approved),,,WORK (n) | TASK (n),WORK (n) TASK (n),,DO THIS WORK IN A CLEAN AREA. | DO THIS TASK IN A CLEAN AREA.,Do this job in a clean area. | Do this job in a clean area.,2-1-J1
join,v,Non-STE (not approved),,,BOND (v) | ATTACH (v) | CONNECT (v),BOND (v) ATTACH (v) CONNECT (v),,USE ADHESIVE No. | 35 TO BOND METAL TO METAL. | ATTACH SMOKE DETECTOR 1 TO SMOKE DETECTOR 2. | CONNECT THE HOSE TO THE PIPE WITH A CLIP.,Use adhesive No. | 35 to join metal to metal. | Join smoke detectors 1 and 2. | Join the hose to the pipe with a clip.,2-1-J1
JOINT,n,STE (approved),,The area at which two surfaces or edges touch or are attached,,The area at which two surfaces or edges touch or are attached,,SEAL THE JOINT WITH SEALING COMPOUND.,,2-1-J1
just,adv,Non-STE (not approved),,,IMMEDIATELY (adv),IMMEDIATELY (adv),,KEEP THE RING IMMEDIATELY ABOVE THE JACK COLLARS. | Blank Page,Keep the ring just above the jack collars.,2-1-J1
KEEP,v,STE (approved),"KEEPS, KEPT, KEPT",To continue to have or hold,,To continue to have or hold,,KEEP THE COMPOUND IN A CLOSED CONTAINER.,,2-1-K1
key,v,Non-STE (not approved),,,REFER (v) | KEY (TN),REFER (v) KEY (TN),,THE ILLUSTRATION REFERS TO EACH STEP. | INSTALL THE KEY BETWEEN THE PULLEY AND THE SHAFT.,The illustration will be keyed to each of the steps. | The pulley must be keyed to the shaft.,2-1-K1
KILL,v,STE (approved),"KILLS, KILLED, KILLED",To cause death,,To cause death,,HIGH VOLTAGES CAN KILL YOU.,,2-1-K1
kind,n,Non-STE (not approved),,,TYPE (n),TYPE (n),,YOU CAN USE TWO TYPES OF SEALING COMPOUND.,Two kinds of sealing compound can be used.,2-1-K1
kink,v,Non-STE (not approved),,,KINK (TN),KINK (TN),,DO NOT MAKE KINKS IN THE CABLES.,Do not kink the cables.,2-1-K1
knock,v,Non-STE (not approved),,,HIT (v),HIT (v),,HIT THE CLAMP ON THE RIGHT SIDE WITH A HAMMER.,Knock the clamp on the right side with a hammer.,2-1-K1
KNOW,v,STE (approved),"KNOWS, KNEW, KNOWN","To be sure of data, to have data ready to use",,"To be sure of data, to have data ready to use",,"IF YOU KNOW THE CLEARANCE, YOU CAN CALCULATE THE THICKNESS OF THE WASHER. | Blank Page",,2-1-K1
label,v,Non-STE (not approved),,,IDENTIFY (v) | LABEL (TN),IDENTIFY (v) LABEL (TN),,IDENTIFY THE COMPONENT WITH A CODE TO HELP YOU INSTALL IT AGAIN CORRECTLY. | PUT A LABEL ON THE RELAY ASSEMBLY.,Label the component with a code to help you install it again correctly. | Label the relay assembly.,2-1-L1
lack,n,Non-STE (not approved),,,NOT SUFFICIENT,NOT SUFFICIENT,,DAMAGE CAN OCCUR TO THE PUMP IF THERE IS NOT SUFFICIENT OIL IN THE RESERVOIR.,Damage can occur to the pump if there is a lack of oil in the reservoir.,2-1-L1
LAMINATED,adj,STE (approved),,Made of laminations,,Made of laminations,,THIS PANEL IS MADE OF LAMINATED CARBON FIBER.,,2-1-L1
LAMINATION,n,STE (approved),,Layers of one or more materials bonded together,,Layers of one or more materials bonded together,,"IF THE LAMINATION IS DAMAGED, REPLACE THE PANEL.",,2-1-L1
land,v,Non-STE (not approved),,,LANDING (TN),LANDING (TN),,"AFTER A HEAVY LANDING, DO THE HEAVY LANDING INSPECTION.","If the aircraft landed heavily, do the Heavy Landing Inspection.",2-1-L1
LARGE,adj,STE (approved),"LARGER, LARGEST","More than average in dimension, quantity, or capacity",,"More than average in dimension, quantity, or capacity",,CLEAN YOUR SKIN WITH A LARGE QUANTITY OF CLEAN WATER.,,2-1-L1
LAST,adj,STE (approved),,That comes at the end,,That comes at the end,,"IMMEDIATELY AFTER THE LAST FLIGHT OF THE DAY, INSTALL ALL COVERS.",,2-1-L1
