word,part_of_speech,status,other_forms,approved_meaning,approved_alternatives,alternatives_raw,guidance,ste_examples,non_ste_examples,page
adequate,adj,Non-STE (not approved),,,SUFFICIENT (adj),SUFFICIENT (adj),,MAKE SURE THAT CONTAINERS HAVE SUFFICIENT CAPACITY AND DIAMETER.,Make sure that containers have adequate capacity and diameter.,2-1-A8
adhere,v,Non-STE (not approved),,,BOND (v) | OBEY (v),BOND (v) OBEY (v),,THE SEAL MUST BOND CORRECTLY. | OBEY THE SAFETY INSTRUCTIONS.,The seal must adhere correctly. | Adhere to the safety instructions.,2-1-A8
adhesion,n,Non-STE (not approved),,,BOND (n),BOND (n),,CLEAN THE SURFACE TO MAKE SURE THAT THE BOND IS SATISFACTORY.,Clean the surface to ensure there will be good adhesion.,2-1-A8
ADJACENT,adj,STE (approved),,"That which is near to an object, with no other object of the same type between the two",,"That which is near to an object, with no other object of the same type between the two",,DO NOT OPERATE THE ADJACENT CONTROL.,,2-1-A8
ADJACENT TO,prep,STE (approved),,"To be near to an object, with no other object of the same type between the two",,"To be near to an object, with no other object of the same type between the two",,THE FUEL PUMP IS INSTALLED ADJACENT TO THE BULKHEAD.,,2-1-A8
adjoining,adj,Non-STE (not approved),,,ADJACENT (adj),ADJACENT (adj),,ALIGN THE BRACKETS WITH THE ADJACENT COMPONENTS.,Align the brackets with the adjoining components.,2-1-A8
ADJUST,v,STE (approved),"ADJUSTS, ADJUSTED, ADJUSTED",To put in or come to a specified position or value,,To put in or come to a specified position or value,,ADJUST THE FREQUENCY TO THE VALUE GIVEN IN TABLE 1. | THE INTERNAL LOGIC ADJUSTS TO SUDDEN CHANGES IN TEMPERATURE.,,2-1-A8
ADJUSTABLE,adj,STE (approved),,That you can adjust,,That you can adjust,,THE TWO STOP BOLTS ARE ADJUSTABLE.,,2-1-A8
ADJUSTMENT,n,STE (approved),,The effect of adjusting,,The effect of adjusting,,MAKE SURE THAT THE ADJUSTMENT IS IN THE LIMITS GIVEN IN TABLE 1.,,2-1-A8
admit,v,Non-STE (not approved),,,LET (v),LET (v),,OPEN THE VALVE TO LET NITROGEN GO INTO THE OLEO STRUT.,Open the valve to admit nitrogen into the oleo strut.,2-1-A9
adopt,v,Non-STE (not approved),,,USE (v),USE (v),,"IF THE UNIT IS DAMAGED, USE THIS PROCEDURE.",Adopt this procedure if the unit is damaged.,2-1-A9
advance,n,Non-STE (not approved),,,FORWARD (adj),FORWARD (adj),,THE FORWARD MOVEMENT OF THE CONTROL LEVER MUST BE SLOW AND CONTINUOUS.,The advance of the control lever must be slow and continuous.,2-1-A9
advance,v,Non-STE (not approved),,,SET (v) | FORWARD (adv),SET (v) FORWARD (adv),,SET THE THROTTLE TO MAXIMUM POWER. | MOVE THE LEVER FORWARD.,Advance the throttle to maximum power. | Advance the lever.,2-1-A9
adverse,adj,Non-STE (not approved),,,BAD (adj),BAD (adj),"If it is possible, give accurate and correct conditions.",REFER TO CHAPTER 6 FOR INSTRUCTIONS ABOUT HOW TO PARK IN BAD WEATHER CONDITIONS. | THIS MEDICATION CAN CAUSE DERMATITIS.,"For parking in adverse weather conditions, refer to Chapter 6. | This medication can cause adverse reactions.",2-1-A9
advisable,adj,Non-STE (not approved),,,RECOMMEND (v),RECOMMEND (v),,THE DESIGN AUTHORITY RECOMMENDS THAT YOU TORQUE THE BOLTS AGAIN AT INTERVALS OF SIX MONTHS.,"According to the Design Authority, it is advisable to retorque the bolts at intervals of six months.",2-1-A9
advise,v,Non-STE (not approved),,,TELL (v) | RECOMMEND (v),TELL (v) RECOMMEND (v),,TELL THE RAMP AGENT THAT THE BRAKES ARE SET. | THE SAFETY OFFICER RECOMMENDS THE APPLICABLE PERSONAL PROTECTIVE EQUIPMENT.,Advise the ramp agent that the brakes are set. | The safety officer advises on applicable personal protective equipment.,2-1-A9
affect,v,Non-STE (not approved),,,EFFECT (n),EFFECT (n),"If it is possible, be accurate.",MAGNETIC TOOLS HAVE AN UNWANTED EFFECT ON THE COMPASS SYSTEM. | THIS MEDICATION CAN CAUSE DERMATITIS,Magnetic tools affect the compass system. | This medication can affect your skin.,2-1-A10
AFT,adj,STE (approved),,At or nearer to the rear of an air or sea vehicle,,At or nearer to the rear of an air or sea vehicle,,THE PUMP IS IN THE AFT CELL OF THE FUSELAGE TANK.,,2-1-A10
AFT,adv,STE (approved),,In the direction of the rear of an air or sea vehicle,,In the direction of the rear of an air or sea vehicle,,MOVE THE THROTTLE AFT.,,2-1-A10
AFTER,conj,STE (approved),,"That follows a specified time, sequence, or operation",,"That follows a specified time, sequence, or operation",,"AFTER YOU INSTALL THE COMPONENT, DO A FUNCTIONAL TEST.",,2-1-A10
AFTER,prep,STE (approved),,"That follows a specified time, sequence, or operation",,"That follows a specified time, sequence, or operation",,THE BAR MOVES DOWN AFTER 20 SECONDS.,,2-1-A10
AFT OF,prep,STE (approved),,At a position nearer to the rear,,At a position nearer to the rear,,THE CONTROL UNIT IS INSTALLED AFT OF THE FLIGHT COMPARTMENT.,,2-1-A10
