word,part_of_speech,other_forms,approved_meaning,guidance,ste_examples,page
CORRECT,v,"CORRECTS, CORRECTED, CORRECTED",To make correct,,CORRECT THE TENSION.,2-1-C21
CORRECTION,n,,A change to make something correct,,DO NOT MAKE THE CORRECTION AT THIS HEADING.,2-1-C22
CORRECTLY,adv,,In a correct manner,,MAKE SURE THAT THE CIRCLIP IS CORRECTLY INSTALLED.,2-1-C22
COUNT,v,"COUNTS, COUNTED, COUNTED",To add the number of objects or occurrences to get a total,,COUNT THE NUMBER OF TREADS ON THE TIRE.,2-1-C23
COUNTERCLOCKWISE,adv,,In the opposite direction to clockwise,,MAKE SURE THAT YOU TURN THE CONTROL KNOB COUNTERCLOCKWISE.,2-1-C23
CURVE,n,,The shape of THE something which is CURVE bent but which has no MINIMUM angles,,RADIUS OF THE MUST BE A OF 8 mm.,2-1-C24
CUT,v,"CUTS, CUT, CUT",1. To divide into CUT parts THREE 2. To remove with a CUT sharp tool THE,LENGTHS.,THE CABLE INTO EQUAL AND DISCARD LOCKWIRE.,2-1-C24
CYCLE,n,,One complete SET sequence of operation THREE,MINUTE.,THE SWITCH TO CYCLES A,2-1-C24
DAMAGE,n,,The result of an occurrence that causes deterioration of the condition of something,,EXAMINE THE SURFACE FOR DAMAGE.,2-1-D1
DAMAGED,adj,,That has or can be affected by damage,,REPLACE THE DAMAGED PARTS.,2-1-D1
DANGEROUS,adj,,"That can cause injury, damage to health or can kill",,IT IS DANGEROUS TO USE AIR IN THIS SYSTEM.,2-1-D1
DATA,n,,1. Known facts 2. Numbers and symbols used by computers,You can also use the singular.,MAKE SURE THAT YOU GET ALL THE DATA ABOUT THE PROBLEM. | DO A TEST TO FIND IF THE MANAGEMENT UNIT TRANSMITS THESE DATA. | DO A TEST TO FIND IF THE MANAGEMENT UNIT TRANSMITS THIS DATA,2-1-D2
DATE,n,,The time at which an event occurs,,"ON THE LABEL, READ THE DATE OF THE LAST INSPECTION.",2-1-D2
DEACTIVATE,v,,"To make a system, function, or feature no longer ready for","operation For other meanings, use:",SET THE SWITCH TO THE STANDBY POSITION TO DEACTIVATE THE MONITORING BOX. | STOP THE MOTOR.,2-1-D2
DECISION,n,,The result after you think about a problem,,MAKE A DECISION ABOUT WHICH PROCEDURE YOU WILL USE.,2-1-D3
DECREASE,v,"DECREASES, DECREASED, DECREASED",To make or become smaller or lower,,DECREASE THE HEADING INDICATIONS.,2-1-D4
DEDICATED,adj,,That is used only for one purpose,,A DEDICATED TOOL IS NECESSARY FOR THE INSTALLATION OF THE UNIT.,2-1-D4
DE-ENERGIZE,v,"DE-ENERGIZES, DE-ENERGIZED, DE-ENERGIZED",To remove electrical power from,,DE-ENERGIZE THE AC AND DC BUSBARS.,2-1-D4
DEEP,adj,"DEEPER, DEEPEST",That has a specified depth,,MAKE SURE THAT THE HOLE IS 20 mm DEEP.,2-1-D4
DEFECTIVE,adj,,Unserviceable for operation,,REPLACE THE DEFECTIVE BOOSTER PUMP.,2-1-D4
DEFLATE,v,"DEFLATES, DEFLATED, DEFLATED",To make or become smaller as a result of depressurization,,"DEFLATE THE TIRE TO A PRESSURE OF 2 bar (29 psi). | IF THE WHEEL TEMPERATURE INCREASES TO MORE THAN 177 DEG., THE CORE OF THE FUSIBLE PLUG MELTS AND THE TIRE DEFLATES.",2-1-D5
DEFUEL,v,"DEFUELS, DEFUELED, DEFUELED",To remove fuel,,DEFUEL THE TANK.,2-1-D5
DEPLOY,v,"DEPLOYS, DEPLOYED, DEPLOYED",To move or cause to move from a specified position of storage and into operation,,"WHEN THE THRUST REVERSER DEPLOYS, KEEP PERSONNEL AWAY FROM THE AIRCRAFT. | DEPLOY THE SLIDE RAFT.",2-1-D7
DEPTH,n,,"The distance from the top down, from the surface down, from the front surface to the rear surface",,MEASURE THE DEPTH OF THE DENT AS SHOWN IN FIGURE 4.,2-1-D7
DETERIORATION,n,,A worse condition,,THIS CONDITION WILL CAUSE DETERIORATION OF THE SURFACE.,2-1-D9
DEVICE,n,,Something used to do a task,,INSTALL THE SAFETY DEVICES.,2-1-D10
DIAGONALLY,adv,,In a diagonal direction,,APPLY THE FIRST LAYER OF TAPE ACROSS THE CUTOUT AND THE SECOND AND THIRD LAYERS DIAGONALLY.,2-1-D10
DIFFERENCE,n,,"That which is different between two quantities, numbers, or functions",,THE DIFFERENCE BETWEEN THE TWO DIMENSIONS MUST NOT BE MORE THAN 0.10 mm.,2-1-D10
DIFFERENT,adj,,Not the same,,"IF THE INDICATIONS ARE DIFFERENT, DO THESE STEPS.",2-1-D11
DIFFERENTLY,adv,,In a different manner,,THE TWO EXTRACTORS OPERATE DIFFERENTLY.,2-1-D11
DIGITAL,adj,,Related to digits,,CONNECT THE PRODS OF THE DIGITAL VOLTMETER.,2-1-D11
DIGITALLY,adv,,Given by digits,,THE VALUE IS SHOWN DIGITALLY ON THE DISPLAY.,2-1-D11
DIM,adj,"DIMMER, DIMMEST",Not bright,,"DURING NIGHT OPERATION, MAKE SURE THAT THE PANEL LIGHTS ARE DIM.",2-1-D12
DIMENSION,n,,The result when something is measured in one direction,,DIMENSION “A” MUST NOT BE MORE THAN 50 PERCENT OF DIMENSION “D.”,2-1-D12
DIMLY,adv,,Not bright,,MAKE SURE THAT THE LIGHT COMES ON DIMLY.,2-1-D12
DIRECTION,n,,The line on which something moves or is pointed,,THE ARROW ON THE VALVE BODY SHOWS THE DIRECTION OF THE FLOW.,2-1-D12
DIRECTLY,adv,,In a direct procedure or by direct effect,,DO NOT FILL THE SYSTEM DIRECTLY FROM A HIGH-PRESSURE STORAGE CYLINDER.,2-1-D12
DIRTY,adj,"DIRTIER, DIRTIEST",Not clean,,A DIRTY CONTACT IN THE CONNECTION UNITS WILL CAUSE THEM TO OPERATE INCORRECTLY.,2-1-D12
DISARM,v,"DISARMS, DISARMED, DISARMED",1. To remove armaments 2. To prevent automatic operation,,DISARM THE AIRCRAFT. | DISARM THE LIFT DUMPER.,2-1-D13
DISASSEMBLE,v,"DISASSEMBLES, DISASSEMBLED, DISASSEMBLED",To take an assembly apart,,DISASSEMBLE THE VALVE ASSEMBLY.,2-1-D13
DISCARD,v,"DISCARDS, DISCARDED, DISCARDED",To not use again,,REMOVE THE O-RINGS AND DISCARD THEM.,2-1-D13
DISCONNECT,v,"DISCONNECTS, DISCONNECTED, DISCONNECTED","To separate something from the thing that it is connected to, or to become separated",,"DISCONNECT THE POWER SUPPLY. | WHEN YOU TOUCH THIS ICON, THE COMPUTER DISCONNECTS FROM THE INTERNET.",2-1-D13
DISENGAGE,v,"DISENGAGES, DISENGAGED, DISENGAGED",To release or become released from something that engages,,"BEFORE YOU START THE ENGINE, DISENGAGE THE CLUTCH. | IF THERE IS A MALFUNCTION, THE GEARS WILL AUTOMATICALLY DISENGAGE.",2-1-D14
DISPLAY,n,,A visual indication,,A NUMBER IN THE TOP LEFT CORNER OF THE DISPLAY REFERS TO THE RELATED PAGE.,2-1-D14
DISTANCE,n,,The dimension between two points or objects,,MEASURE THE DISTANCE BETWEEN POINTS “A” AND “B.”,2-1-D15
DIVIDE,v,"DIVIDES, DIVIDED, DIVIDED",1. To separate into parts or groups 2. To do mathematical division,,"YOU CAN DIVIDE THE DRAINS INTO THREE GROUPS. | THE PRESSURE LINES DIVIDE AND GO IN DIFFERENT DIRECTIONS. | TO FIND THE MIDDLE POINT, DIVIDE THE MEASURED CLEARANCE BY TWO.",2-1-D16
DO,v,"DOES, DID, DONE","1. To complete a procedure, task, or step 2. As an auxiliary verb a. As part of a b. As part of a",negative command or statement question,DO A FUNCTIONAL TEST. | DO NOT BREATHE THE SOLVENT FUMES. | DOES THE LIGHT COME ON?,2-1-D16
DOWN,adj,,In a position below,,MAKE SURE THAT THE ANCHOR IS DOWN.,2-1-D17
DOWN,adv,,To a position below,,THE POINTER MOVES DOWN.,2-1-D17
DOWN,prep,,To a position below,,LET THE SLEEVE MOVE DOWN THE GUIDE TUBE.,2-1-D17
DOWNSTREAM,adj,,In the direction of the flow,,DISCONNECT THE DOWNSTREAM CONNECTION.,2-1-D17
DOWNSTREAM,adv,DOWNSTREAM,In the direction of the flow In the direction of the,,MOVE THE PROBE DOWNSTREAM AND MONITOR THE TEMPERATURE AGAIN. | DISCONNECT THE,2-1-D17
OF,prep,,flow,,CONNECTION WHICH IS DOWNSTREAM OF THE VALVE.,2-1-D17
DRAIN,v,"DRAINS, DRAINED, DRAINED",To remove liquid,,DRAIN THE SYSTEM FULLY.,2-1-D17
DRINK,v,"DRINKS, DRANK,",To consume liquid,"For safety instructions, use: No other verb forms.",DO NOT DRINK IN THE WORK AREA. | DO NOT SWALLOW THE SOLVENT.,2-1-D18
DROP,n,,A small quantity of liquid in a spherical shape,,MAKE SURE THAT NO DROPS OF ADHESIVE FALL ONTO THE MATERIAL.,2-1-D18
DRY,adj,"DRIER, DRIEST",Without liquid or moisture,,MAKE SURE THAT THE SURFACE IS DRY.,2-1-D19
DRY,v,"DRIES, DRIED, DRIED","To remove liquid or moisture, or to become dry",,DRY THE FILTER IN AN OVEN. | LET THE PAINT DRY AT THE AMBIENT TEMPERATURE.,2-1-D19
DURING,prep,,In or for a specified time,,MONITOR THE INDICATIONS DURING THE RETRACTION TEST.,2-1-D19
EACH,adj,,"Every one of two or more objects or persons, seen together as a group but identified separately",,MAKE SURE THAT THE SWITCH IN EACH PANEL IS SET TO “OFF.”,2-1-E1
EACH,pron,,"Every one of two or more objects or persons, seen together as a group but identified separately",,"INSTALL TWO SPACERS, EACH WITH A THICKNESS OF 3.5 mm.",2-1-E1
EACH OTHER,pron,,Each of two or more in reciprocal action or relation,,"WHEN YOU REMOVE THE PROBES, DO NOT LET THEM TOUCH EACH OTHER.",2-1-E1
EASILY,adv,,Without difficulty,,OXIDATION OCCURS VERY EASILY.,2-1-E2
EASY,adj,"EASIER, EASIEST",Without difficulty,,USE THE LEFT OPENING FOR EASY ACCESS.,2-1-E2
EAT,v,"EATS, ATE",To consume food,"For safety instructions, use: No other verb forms.",DO NOT EAT IN THE WORK AREA. | DO NOT SWALLOW THE POTTING COMPOUND.,2-1-E2
EDGE,n,,A line that is the intersection of two surfaces of a solid object,,THE DISTANCE BETWEEN THE EDGE OF THE PANEL AND THE PARTITION MUST NOT BE MORE THAN 0.05 mm.,2-1-E2
EFFECT,n,,The result of a cause,,"WHEN DUST MIXES WITH OIL, IT HAS AN ABRASIVE EFFECT.",2-1-E2
EJECT,v,"EJECTS, EJECTED, EJECTED",To move or to cause a person or item to move from an aircraft or equipment with force,,"IF YOU PULL THE EJECTION SEAT HANDLE, THE SEAT WILL EJECT.",2-1-E3
ELECTRIC,adj,,Operated by electricity,,"IF THE HYDRAULIC PUMP DOES NOT SUPPLY A PRESSURE OF 3000 psi, USE THE ELECTRIC PUMP.",2-1-E4
ELECTRICAL,adj,,Related to electricity,,SUPPLY ELECTRICAL POWER TO THE SYSTEM.,2-1-E4
ELECTRICALLY,adv,,Related to or operated by electricity,,THE SYSTEM IS HYDRAULICALLY OPERATED AND ELECTRICALLY CONTROLLED.,2-1-E4
ELECTROMAGNETIC,adj,,Related to electromagnetism,,THE ELECTROMAGNETIC TEST PROCEDURE USES ELECTROMAGNETIC FORCE.,2-1-E4
ELECTROMAGNETICALLY,adv,,Related to electromagnetism,,THE SYSTEM OPERATES ELECTROMAG- NETICALLY.,2-1-E4
ELECTRONIC,adj,,Related to or operated by electronics,,THIS BAY CONTAINS SOME OF THE ELECTRONIC EQUIPMENT.,2-1-E4
ELECTRONICALLY,adv,,Related to or operated by electronics,,THIS UNIT IS ELECTRONICALLY CONTROLLED.,2-1-E4
EMERGENCY,n,,A condition that occurs suddenly and is dangerous,,"IN AN EMERGENCY, BREAK THE GLASS.",2-1-E5
EMPTY,adj,,Without contents,,MAKE SURE THAT THE RESERVOIR IS EMPTY.,2-1-E5
END,n,,"Where time, distance, or sequence are completed",,EXAMINE THE SHACKLE AT THE END OF THE SLING.,2-1-E6
ENERGIZE,v,"ENERGIZES, ENERGIZED, ENERGIZED",To supply electrical power to,,ENERGIZE THE AC AND DC BUSBARS.,2-1-E6
ENGAGE,v,"ENGAGES, ENGAGED, ENGAGED",To correctly align and come together,,ENGAGE THE CLUTCH. | MAKE SURE THAT THE CLUTCH ENGAGES.,2-1-E6
ENTRANCE,n,,An opening to go into a space,,PUT SAFETY BARRIERS AT THE ENTRANCE TO THE WORK AREA.,2-1-E7
ENTRY,n,,A record of an occurrence,,MAKE AN ENTRY IN THE LOG CARD.,2-1-E8
EQUAL,adj,,"The same dimension, quality, quantity, or number",,MAKE SURE THAT THERE IS AN EQUAL DISTANCE BETWEEN THE HOLES.,2-1-E8
EQUALLY,adv,,"The same dimension, quality, quantity, or number",,ADJUST THE TURNBUCKLES EQUALLY.,2-1-E8
EQUIPMENT,n,,The objects or tools used for operation and maintenance,,REMOVE ALL THE EQUIPMENT FROM THE WORK AREA.,2-1-E8
EQUIVALENT,adj,,"Has the same properties, functions, or values",,MATERIALS (REF. | No. | 2) AND (REF. | No. | 18) ARE EQUIVALENT.,2-1-E8
EQUIVALENT,n,,"Something that has the same properties, functions, or values",,"USE CLEANING COMPOUND ARDROX 6025, OR AN EQUIVALENT.",2-1-E8
ERASE,v,"ERASES, ERASED, ERASED",To remove data from a medium,,ERASE THE TAPE.,2-1-E8
ERROR,n,,The difference from that which is correct or accurate,,"IF THE ERROR IS MORE THAN 3 DEG., CALIBRATE THE COMPASS.",2-1-E9
ESTIMATE,n,,"A calculated, approximate result",,MAKE AN ESTIMATE OF THE NECESSARY QUANTITY OF PAINT.,2-1-E9
EXAMINE,v,"EXAMINES, EXAMINED, EXAMINED",To look carefully at,,EXAMINE THE COMPUTER FOR DAMAGE.,2-1-E12
EXAMPLE,n,,Something from a group which has the same qualities as the group,,FIGURE 2 IS AN EXAMPLE OF A REPAIR PROCEDURE FOR A DAMAGED WEB.,2-1-E12
EXHAUST,n,,The gas from an engine,,THE EXHAUST FROM THE APU IS DANGEROUS.,2-1-E15
EXIT,n,,An opening to go out of a space,,MAKE SURE THAT ALL THE EMERGENCY EXITS ARE CLEAR OF UNWANTED OBJECTS.,2-1-E15
EXPAND,v,"EXPANDS, EXPANDED, EXPANDED","To increase in dimension, volume, or time",,THE BELLOWS MUST EXPAND. | HEAT EXPANDS THE GAS IN THE CONTAINER.,2-1-E16
EXPIRED,adj,,More than the permitted life,,MAKE SURE THAT THE SHELF LIFE IS NOT EXPIRED.,2-1-E16
EXPLOSION,n,,The effect when an explosive material quickly releases its energy,,THIS CONDITION CAN CAUSE AN EXPLOSION.,2-1-E16
EXPLOSIVE,adj,,That can cause an explosion,,THE SAFETY PRECAUTIONS THAT FOLLOW ARE APPLICABLE TO EXPLOSIVE ITEMS.,2-1-E16
EXTEND,v,"EXTENDS, EXTENDED, EXTENDED","To increase, or cause something to increase, in dimension or range",,FULLY EXTEND THE JACK RAM. | MAKE SURE THAT THE RODS EXTEND AND RETRACT.,2-1-E17
EXTENSION,n,,1. The action when something extends 2. The result when something extends,,MAKE SURE THAT THE EXTENSION OF THE ACTUATOR IS SMOOTH. | THE TOTAL EXTENSION OF THE PISTON IS 125 mm.,2-1-E17
EXTERNAL,adj,,"Of, or on, the outer side",,CONNECT THE EXTERNAL POWER SUPPLY.,2-1-E17
EXTERNALLY,adv,,"Of, or on, the outer side",,THE CONTROL BOX IS INSTALLED EXTERNALLY.,2-1-E17
EXTINGUISH,v,"EXTINGUISHES, EXTINGUISHED, EXTINGUISHED",To stop burning GO OFF BE OFF,"For lights or lamps, use :","TO EXTINGUISH A FIRE IN THE ENGINE, ACTIVATE THE FIRE SUPPRESSION SYSTEM IMMEDIATELY. | WHEN THE FLAME EXTINGUISHES, STOP THE FUEL SUPPLY. | THE “AUTO BRK” PUSHBUTTON LIGHT GOES OFF. | MAKE SURE THAT THE GREEN LIGHT ON THE PANEL IS OFF.",2-1-E18
FACE,n,,The front surface of an object,This word is a technical noun when it refers to a part of the body.,"CLEAN THE FACE OF THE INDICATOR. | WHEN YOU DO MAINTENANCE ON THE WASTE WATER SYSTEM, DO NOT TOUCH YOUR FACE WITH YOUR GLOVES.",2-1-F1
FACT,n,,Something that occurred or is correct,,GET ALL THE FACTS ABOUT THE INCIDENT FROM THE PILOT.,2-1-F1
FALL,v,"FALLS, FELL, FALLEN",To move down by the force of gravity,,MAKE SURE THAT THE TOOLS DO NOT FALL INTO THE ENGINE.,2-1-F3
FAR,adj,"FARTHER, FARTHEST",At or to a relatively large distance,,REMOVE THE BOLT THAT IS FARTHEST FROM THE CENTER.,2-1-F3
FAST,adj,"FASTER, FASTEST",At high speed,,A FAST MOVEMENT OF THE THROTTLE WILL CAUSE A SURGE.,2-1-F3
FEATHER,v,"FEATHERS, FEATHERED, FEATHERED",To put a propeller to a position of minimum drag,,PUT THE CONDITION LEVER IN THE FTR POSITION TO FEATHER THE PROPELLER.,2-1-F5
FEEL,v,"FEELS, FELT, FELT",To touch to find,,CAREFULLY LIFT THE MAGNETIC LEVEL INDICATOR UNTIL YOU FEEL THE MAGNETS.,2-1-F5
FILL,v,"FILLS, FILLED, FILLED","To put into a container or a space to the maximum level or, if specified, to a given level, pressure, or quantity",,FILL THE TANK WITH METHANOL. | MAKE SURE THAT THE RESERVOIR FILLS WITH WATER.,2-1-F5
FILTERED,adj,,That has gone through a filter,,DRY THE UNIT WITH LOW-PRESSURE FILTERED AIR.,2-1-F6
FIND,v,"FINDS, FOUND, FOUND","To discover, to examine something so that you know",,YOU CAN FIND THE NUMBERS ON THE SWITCH.,2-1-F6
FINISH,n,,The result of a finishing procedure,,DO NOT CAUSE DAMAGE TO THE SURFACE FINISH OF THE HOUSING.,2-1-F6
FIRE,n,,The light and/or heat from a material when it burns,,"IF THERE IS A FIRE IN THE ENGINE COMPARTMENT, YOU WILL HEAR THE GONG.",2-1-F6
FIRE,v,"FIRES, FIRED, FIRED","To ignite, or to operate items that contain an explosive material",,"FIRE THE CARTRIDGES. | WHEN YOU PUSH THE AGENT PUSHBUTTON, THE FIRE EXTINGUISHER CARTRIDGE FIRES.",2-1-F7
FIRST,adv,,Before other persons or things,,FILL THE INNER TANKS FIRST.,2-1-F7
FIT,n,,"The relation between two related parts, a limit of tolerance",,YOU WILL FIND DATA ABOUT FITS AND CLEARANCES IN SECTION 9001.,2-1-F7
FLAME,n,,Burning gas,,"IF YOU SEE FLAMES FROM THE EXHAUST PIPE, STOP THE ENGINE.",2-1-F7
FLAMMABLE,adj,,That burns easily,,THE SOLVENT IS FLAMMABLE.,2-1-F8
FLANGE,n,,An end surface at an angle,,MAKE SURE THAT THE FLANGE IS NOT DAMAGED.,2-1-F8
FLASH,v,"FLASHES, FLASHED, FLASHED",To come on and go off frequently,,THE RED LIGHTS FLASH IN HALF-SECOND INTERVALS.,2-1-F8
FLAT,adj,"FLATTER, FLATTEST",That has a continuous surface in the same plane,,LUBRICATE ONE SIDE OF THE FLAT WASHERS.,2-1-F8
FLEXIBLE,adj,,That can easily bend again and again,,CONNECT THE FLEXIBLE HOSES TO THE PUMP.,2-1-F8
FLIGHT,n,,The time an aircraft is in the air,,"AFTER EACH FLIGHT, READ THE COUNTER UNIT INDICATIONS.",2-1-F8
FLOW,n,,A continuous movement of fluid,,AN ARROW ON THE FUEL VALVE SHOWS THE DIRECTION OF THE FLOW.,2-1-F9
FLOW,v,"FLOWS, FLOWED, FLOWED",To move as a fluid moves,,"THE OIL MUST FLOW OUT OF THE VALVE. | WHEN THE VALVE OPENS, AIR FLOWS INTO THE INLET.",2-1-F9
FLUID,n,,Liquid or gas,,THESE FLUIDS CAN CAUSE CORROSION.,2-1-F9
FLUSH,adj,,Of a surface that is level or continuous with another surface,,MAKE SURE THAT THE DOOR IS FLUSH WITH THE FUSELAGE SKIN.,2-1-F9
FLUSH,v,"FLUSHES, FLUSHED, FLUSHED",To remove something or to operate with a flow of liquid,,FLUSH THE TUBES WITH PRESSURIZED FUEL. | MAKE SURE THAT THE TOILET ASSEMBLY FLUSHES CORRECTLY.,2-1-F9
FOLD,v,"FOLDS, FOLDED, FOLDED",To double over or to cause to double over on itself,,DISENGAGE THE UPPER AND LOWER GUIDE ARMS AND FOLD THEM BACK. | THE BICYCLE CAN FOLD FOR EASY STORAGE.,2-1-F9
FOLLOW,v,"FOLLOWS, FOLLOWED, FOLLOWED","To come after, to go after","For other meanings, use:","THIS TEST FOLLOWS THE INSTALLATION OF THE HP PUMP. | DO THE PROCEDURE THAT FOLLOWS. | FOLLOW THE GREEN LIGHTS TO THE NEAREST STAIRCASE. | WHEN YOU USE THIS MATERIAL, OBEY THE MANUFACTURER’S INSTRUCTIONS.",2-1-F10
FOR,prep,FOR EXAMPLE,"Function word that shows purpose, intent, time, result, or the object of an action Used to introduce something chosen as a typical case",,"LET THE POTTING COMPOUND DRY FOR ONE HOUR. | OBEY THE REMOVAL PROCEDURES FOR THE COMPONENTS. | WHEN YOU REMOVE THE STUD, USE APPLICABLE TOOLS. | FOR EXAMPLE, USE A PLASTIC MALLET AND A PUNCH.",2-1-F10
FORWARD,adj,,Nearer to the front,,THE CONTROL UNIT IS INSTALLED IN THE FORWARD PART OF THE CARGO COMPARTMENT.,2-1-F11
FORWARD,adv,,In the direction of the front,,MOVE THE LEVERS FORWARD.,2-1-F11
FORWARD OF,prep,,At a position nearer to the front,,THE TENSION REGULATOR IS INSTALLED FORWARD OF THE PRESSURE BULKHEAD.,2-1-F11
FREE,adj,,That can move easily,"Do not use compound adjectives with free, for example, lintfree, dustfree, unless they are technical nouns.",MAKE SURE THAT THE NUTS ARE FREE TO TURN ON THE SLEEVES. | MAKE SURE THAT THERE IS NO DUST ON THE SURFACE.,2-1-F12
FREELY,adv,,That can move easily,,OXYGEN MUST FLOW FREELY FROM THE END OF THE HOSE.,2-1-F13
FREEZE,v,"FREEZES, FROZE, FROZEN",To go or cause to go to a temperature below the freezing point of a liquid (usually of water),,"FREEZE THE BUSHINGS AS FOLLOWS: IF YOU THINK THAT THE WATER WILL FREEZE, ADD ANTIFREEZE.",2-1-F13
FREQUENT,adj,,That occurs or is found often at short intervals,,FREQUENT INSPECTIONS OF THESE AREAS ARE NECESSARY.,2-1-F13
FREQUENTLY,adv,,At frequent or short intervals,,MONITOR THE INDICATORS FREQUENTLY.,2-1-F13
FROM,prep,,"Function word that shows a point of departure for movement, time, distance, action, or separation",,REMOVE THE PROTECTIVE COVER FROM THE NEW ASSEMBLY.,2-1-F13
FRONT,adj,,Nearer to the person that looks or a reference point,Refer also to IN FRONT OF.,THERE IS A “FAULT” LIGHT ON THE FRONT FACE OF THE COMPUTER.,2-1-F13
FRONT,n,,The front part or the front surface,,CLEAN THE FRONT OF THE MOUNTING FLANGE WITH SOLVENT.,2-1-F13
FULL,adj,"FULLER, FULLEST","At or related to maximum travel, length, quantity, or detail",,MAKE SURE THAT THE RESERVOIR IS FULL.,2-1-F14
FULLY,adv,,"At or related to maximum travel, length, quantity, or detail",,TURN THE CONTROL TO THE FULLY CLOSED POSITION.,2-1-F14
FUNCTION,n,,Action or activity that a person or thing does,,THE PRIMARY FUNCTION OF THIS UNIT IS TO CONTROL THE FUEL FLOW.,2-1-F14
GAS,n,,A fluid that has no shape or volume and that can expand,,THE TEMPERATURE SENSING UNIT IS A CAPILLARY TUBE FILLED WITH GAS.,2-1-G2
GENERAL,adj,,"Of, or related to something as a whole, not detailed",,THIS SECTION GIVES GENERAL MAINTENANCE PROCEDURES.,2-1-G2
GET,v,"GETS, GOT","To obtain, to come into the state of having","Do not use this word to mean BECOME, GO, DECREASE, INCREASE. Refer to rule 9.2 and the entries from “get” until “get to” that follow. No other verb forms.","IF YOU GET THE FLUID ON YOUR SKIN, FLUSH YOUR SKIN IMMEDIATELY WITH CLEAN WATER.",2-1-G4
GIVE,v,"GIVES, GAVE, GIVEN",To provide,,THIS SECTION GIVES THE CLEANING PROCEDURES FOR THE DISASSEMBLED PARTS.,2-1-G5
GLOSSY,adj,"GLOSSIER, GLOSSIEST",Smooth and shiny,,APPLY THE PATCH WITH THE MATT SIDE AGAINST THE GLOSSY SURFACE.,2-1-G5
GO,v,"GOES, WENT",To move to or from something,No other verb forms.,MAKE SURE THAT THE POINTER GOES OUT OF VIEW.,2-1-G6
GO OFF,v,"GOES OFF, WENT OFF",To become dark when an internal power source is de-energized,No other verb forms.,THE ANNUNCIATOR LIGHT GOES OFF.,2-1-G6
GOOD,adj,"BETTER, BEST",That is satisfactory,,THIS MATERIAL GIVES GOOD PROTECTION FROM CORROSION.,2-1-G6
GRADUALLY,adv,,Slowly and continuously,,GRADUALLY OPEN THE COCKS ON THE RECHARGING UNIT.,2-1-G7
GROOVE,n,,A long channel that is not wide,,INSTALL THE O-RING IN ITS GROOVE ON THE PISTON.,2-1-G8
GROUND,n,,The surface of the earth,,YOU CAN ONLY DO THIS PROCEDURE ON THE GROUND.,2-1-G8
GROUND,v,"GROUNDS, GROUNDED, GROUNDED",To connect to the ground or to a large object of zero potential,,GROUND THE FUEL TANKS.,2-1-G8
GROUP,n,,Objects that are related,,THIS GROUP OF SEALING COMPOUNDS IS ALSO APPLICABLE IN AN EMERGENCY.,2-1-G8
HANG,v,"HANGS, HUNG, HUNG",To attach or to be attached to something above with no support from below,,HANG THE SHACKLE ON THE HOIST. | LOWER THE PLATFORM ASSEMBLY UNTIL IT HANGS ON THE SUPPORT FRAME.,2-1-H1
HARD,adj,"HARDER, HARDEST","Not easy to cut, not easy to go into or through",,"IF THE SURFACE IS HARD, USE A CARBIDE DRILL.",2-1-H1
HAVE,v,"HAS, HAD",To possess as a part or quality,No other verb forms.,THE SYSTEM HAS AN EMERGENCY WARNING DEVICE.,2-1-H3
HEAD,n,,The top of something,,MAKE SURE THAT THE HEAD OF THE BOLT IS DOWN.,2-1-H3
HEAR,v,"HEARS, HEARD, HEARD",To know by sound in the ear,,MAKE SURE THAT YOU HEAR THE AUDIO SIGNALS IN ALL THE CREW HEADSETS.,2-1-H3
HEAT,n,,The condition or quality of being hot,,USE HEAT TO CURE THE POLYSULPHIDE SEALANT.,2-1-H3
HEAVY,adj,"HEAVIER, HEAVIEST","That has a large mass, weight, or force",,A SUPPORT WILL BE NECESSARY BECAUSE THE CONTROL UNIT IS HEAVY.,2-1-H4
HEIGHT,n,,The vertical distance,,THE HEIGHT FROM THE GROUND TO THE TOP OF THE FIN CAN CHANGE.,2-1-H4
HELP,v,"HELPS, HELPED, HELPED",To make something easier or better,,PETROLATUM HELPS TO PREVENT CORROSION OF THE TERMINALS.,2-1-H4
HERE,adv,,In this position,,"TO DOWNLOAD THE FILE, CLICK HERE.",2-1-H4
HIGH,adj,"HIGHER, HIGHEST",That is of large value,,USE THE SPECIAL PROTECTION FOR STORAGE IN HIGH TEMPERATURES.,2-1-H5
HIT,v,"HITS, HIT, HIT",To touch suddenly and with much force,,DO NOT HIT THE CARTRIDGE.,2-1-H5
HOLD,v,"HOLDS, HELD, HELD","1. To continue to have in the hand or grip 2. To continue to have in a specified location, position, or condition",,HOLD THE ROD TIGHTLY. | HOLD THE AIRSPEED INDICATION AT THE SAME VALUE FOR 2 MINUTES.,2-1-H5
HOLE,n,,An empty space in a solid object,,MAKE SURE THAT THE HOLES IN THE BUSHING ALIGN WITH THOSE IN THE HOUSING.,2-1-H6
HORIZONTAL,adj,,Parallel to the horizon or a baseline,,ADJUST THE SLING UNTIL THE FLAP IS HORIZONTAL.,2-1-H6
HORIZONTALLY,adv,,In a horizontal position,,THE VALVE IS INSTALLED HORIZONTALLY.,2-1-H6
HOT,adj,"HOTTER, HOTTEST",At a high temperature,,DRY THE SURFACE WITH HOT AIR.,2-1-H6
HOW,adv,,By which manner,,PARAGRAPH 7.0 TELLS YOU HOW TO INSTALL THE UNIT.,2-1-H6
