word,part_of_speech,other_forms,approved_meaning,guidance,ste_examples,page
BOND,n,,1. A connection between structural components for electrical continuity 2. A firm connection with another material,,DO A RESISTANCE CHECK OF THE PRIMARY BONDS. | MAKE SURE THAT THE BOND BETWEEN THE HONEYCOMB CORE AND THE SKIN IS CORRECT.,2-1-B6
BOND,v,"BONDS, BONDED, BONDED",1. To make an electrical bond 2. To attach firmly or become firmly attached with another material,,"THE STATIC DISCHARGER IS ELECTRICALLY BONDED TO THE FRAME. | IF THE FILLER BONDS TO THE TOOL, MAKE THE TOOL MOIST WITH COLD WATER. | WHEN YOU BOND THE MATERIALS, APPLY A THIRD LAYER OF ADHESIVE.",2-1-B7
BOTTOM,adj,,That is lowermost,,REMOVE THE BOTTOM BOLT.,2-1-B7
BOTTOM,n,,The lowermost position,,THE DRAIN PLUG IS AT THE BOTTOM OF THE UNIT.,2-1-B7
BREAK,v,"BREAKS, BROKE, BROKEN",To cause to separate or become separated into parts by force,,"BREAK THE BOND OF THE SEALANT. | IF THE SHEAR PIN BREAKS, DO AN INSPECTION OF THE TOWBAR.",2-1-B8
BREATHE,v,"BREATHES, BREATHED, BREATHED",To get gas into or out of the lungs,,DO NOT BREATHE THE SOLVENT FUMES. | BREATHE INTO THE OXYGEN MASK.,2-1-B8
BRIGHT,adj,"BRIGHTER, BRIGHTEST",That gives much light,,THE NAVIGATION LIGHTS CHANGE FROM DIM TO BRIGHT.,2-1-B8
BRIGHTLY,adv,,In a bright manner,,THE LIGHTS COME ON BRIGHTLY.,2-1-B8
BUBBLE,n,,A small quantity of gas in a liquid or a solid,,ADJUST THE CLINOMETER UNTIL THE BUBBLE IS IN THE CENTER.,2-1-B9
BURN,v,"BURNS, BURNED, BURNED",1. To cause or undergo combustion 2. To cause injury or damage through heat,,THE TURBINE BURNS FUEL. | THE SEALANT BURNS AT 109 DEG. | F. | HOT SURFACES CAN BURN YOU.,2-1-B9
BUT,conj,,On the contrary,,"TIGHTEN THE NUTS, BUT DO NOT TORQUE THEM AT THIS TIME.",2-1-B10
BY,prep,,Mathematical function word,,DIVIDE THE VALUE BY TWO. | INCREASE THE TEMPERATURE BY 10 DEGREES.,2-1-B10
BYPASS,v,"BYPASSES, BYPASSED, BYPASSED",To change a circuit so that it goes past something instead of through it,,"IN THIS CONFIGURATION, THE HYDRAULIC PRESSURE BYPASSES THE VALVE.",2-1-B10
CALCULATE,v,"CALCULATES, CALCULATED, CALCULATED",To find a result by mathematics,,CALCULATE THE PERCENTAGE WITH THE APPLICABLE FORMULA.,2-1-C1
CALIBRATE,v,"CALIBRATES, CALIBRATED, CALIBRATED",To measure and adjust the precision of something,,CALIBRATE THE THERMOMETER TO THE CELSIUS SCALE.,2-1-C1
CALIBRATION,n,,The procedure that calibrates,,WRITE THE RESULTS OF THE CALIBRATION ON THE CORRECTION CHART.,2-1-C1
CAN,v,"CAN, COULD","Auxiliary modal verb that means to be possible, to be able to, or to be permitted to",Do not use COULD (v) to show possibility No other verb forms.,"A MIXTURE OF FUEL AND OXYGEN CAN CAUSE AN EXPLOSION. | YOU CAN CLEAN THE DRAIN HOLES WITH THE CLEANING TOOL. | YOU CAN OPERATE THE VEHICLE AFTER THE INSPECTION IS COMPLETED. | IF YOU DO NOT OBEY THIS WARNING, AN EXPLOSION CAN OCCUR.",2-1-C1
