verb,other_forms,approved_meaning,ste_examples,page
OVERRIDE,"OVERRIDES, OVERRODE, OVERRIDDEN",To prevent the automatic operation of a part or system,MANUALLY OVERRIDE THE START SEQUENCE.,2-1-O9
SPRAY,,A jet of very small drops of liquid,THE SEALANT IS RESISTANT TO SALT SPRAY.,2-1-S20
ADJUST,"ADJUSTS, ADJUSTED, ADJUSTED",To put in or come to a specified position or value,ADJUST THE FREQUENCY TO THE VALUE GIVEN IN TABLE 1. | THE INTERNAL LOGIC ADJUSTS TO SUDDEN CHANGES IN TEMPERATURE.,2-1-A8
DECREASE,"DECREASES, DECREASED, DECREASED",To make or become smaller or lower,DECREASE THE HEADING INDICATIONS.,2-1-D4
HEAR,"HEARS, HEARD, HEARD",To know by sound in the ear,MAKE SURE THAT YOU HEAR THE AUDIO SIGNALS IN ALL THE CREW HEADSETS.,2-1-H3
START,,The beginning of a movement or operation,MOVEMENT CAN BE SLOW AT THE START.,2-1-S22
AGREE,"AGREES, AGREED, AGREED",To be consistent with,THE INDICATIONS MUST AGREE WITH THE VALUES IN TABLE 1001.,2-1-A11
DE-ENERGIZE,"DE-ENERGIZES, DE-ENERGIZED, DE-ENERGIZED",To remove electrical power from,DE-ENERGIZE THE AC AND DC BUSBARS.,2-1-D4
HELP,"HELPS, HELPED, HELPED",To make something easier or better,PETROLATUM HELPS TO PREVENT CORROSION OF THE TERMINALS.,2-1-H4
PAINT,"PAINTS, PAINTED, PAINTED",To apply paint to something,PAINT ALL THE SURFACES.,2-1-P1
STAY,"STAYS, STAYED",To continue to be in a location or condition,MAKE SURE THAT THE ASSEMBLED PARTS STAY ALIGNED.,2-1-S23
ALIGN,"ALIGNS, ALIGNED, ALIGNED",To put or come into a specified position in relation to a line,ALIGN THE FLANGE HOLES WITH THE STUDS. | ALL THREE BRACKET HOLES MUST ALIGN WITH THE FUEL TUBE.,2-1-A11
DEFLATE,"DEFLATES, DEFLATED, DEFLATED",To make or become smaller as a result of depressurization,"DEFLATE THE TIRE TO A PRESSURE OF 2 bar (29 psi). | IF THE WHEEL TEMPERATURE INCREASES TO MORE THAN 177 DEG., THE CORE OF THE FUSIBLE PLUG MELTS AND THE TIRE DEFLATES.",2-1-D5
HIT,"HITS, HIT, HIT",To touch suddenly and with much force,DO NOT HIT THE CARTRIDGE.,2-1-H5
PARK,"PARKS, PARKED, PARKED",To stop a vehicle and to let it stay in one position on the ground,PARK THE CAR IN THE PERMITTED AREA.,2-1-P1
STOP,"STOPS, STOPPED, STOPPED",1. To cause the end 2. To come to an end,"STOP THE ENGINE. | WHEN THE FLOW STOPS, REMOVE THE DRAIN HOSE.",2-1-S24
APPLY,"APPLIES, APPLIED, APPLIED","1. To put or spread something on 2. To use something (for example, pressure, force, load) to cause an effect",APPLY THE SEALING COMPOUND. | APPLY A FORCE OF 100 N ON THE END OF THE LEVER.,2-1-A17
DEFUEL,"DEFUELS, DEFUELED, DEFUELED",To remove fuel,DEFUEL THE TANK.,2-1-D5
HOLD,"HOLDS, HELD, HELD","1. To continue to have in the hand or grip 2. To continue to have in a specified location, position, or condition",HOLD THE ROD TIGHTLY. | HOLD THE AIRSPEED INDICATION AT THE SAME VALUE FOR 2 MINUTES.,2-1-H5
POINT,,1. A sharp or tapered end 2. An accurate location,"PUT THE POINT OF THE TOOL IN THE SLOT. | ON THE FLANGE, MEASURE THE DISTANCE BETWEEN POINTS “A” AND “B.”",2-1-P6
STOW,"STOWS, STOWED, STOWED",To move or cause to move into a specified position of storage.,STOW THE LIFE VEST SAFELY BELOW THE PASSENGER SEAT. | MAKE SURE THAT THE THRUST REVERSER STOWS WHEN YOU PUSH THE QUADRANT CONTROL FORWARD.,2-1-S24
ARM,"ARMS, ARMED, ARMED",1. To install armaments 2. To prepare for automatic operation,ARM THE AIRCRAFT. | SET THE SWITCH TO “CLOSE” TO ARM THE CIRCUIT.,2-1-A18
DEPLOY,"DEPLOYS, DEPLOYED, DEPLOYED",To move or cause to move from a specified position of storage and into operation,"WHEN THE THRUST REVERSER DEPLOYS, KEEP PERSONNEL AWAY FROM THE AIRCRAFT. | DEPLOY THE SLIDE RAFT.",2-1-D7
POLISH,"POLISHES, POLISHED, POLISHED",To make smooth or shiny,POLISH THE WINDOW PANE WITH A SOFT CLOTH.,2-1-P7
SUBTRACT,"SUBTRACTS, SUBTRACTED, SUBTRACTED",To take from a number or quantity,SUBTRACT COEFFICIENT “A” FROM THE INDICATION.,2-1-S27
ASSEMBLE,"ASSEMBLES, ASSEMBLED, ASSEMBLED","To attach, connect, or put together the parts of something",ASSEMBLE THE VALVE AS FOLLOWS:,2-1-A20
DISARM,"DISARMS, DISARMED, DISARMED",1. To remove armaments 2. To prevent automatic operation,DISARM THE AIRCRAFT. | DISARM THE LIFT DUMPER.,2-1-D13
IDENTIFY,"IDENTIFIES, IDENTIFIED, IDENTIFIED",1. To use a specified code or marking to supply with an identity 2. To show an identity,IDENTIFY THE WIRES WITH SLEEVES OF DIFFERENT COLORS. | A 406 MHz DIGITAL SIGNAL IDENTIFIES THE EMERGENCY LOCATOR TRANSMITTER AND ITS LOCATION. | FIND THE DAMAGED AREAS.,2-1-I1
PREPARE,"PREPARES, PREPARED, PREPARED",To make or become ready,PREPARE THE TUBE FOR THE LEAK TEST. | PREPARE FOR THE ELECTRICAL BONDING PROCEDURE.,2-1-P10
SUPPLY,,Something that is supplied,STOP THE ELECTRICAL POWER SUPPLY.,2-1-S29
ATTACH,"ATTACHES, ATTACHED, ATTACHED",To stay together or to cause different items to stay together,MAKE SURE THAT THE LABEL FULLY ATTACHES TO THE SURFACE AND THAT THERE ARE NO BUBBLES. | TEMPORARILY ATTACH THE CABLE TO THE ADJACENT STRUCTURE.,2-1-A22
DISASSEMBLE,"DISASSEMBLES, DISASSEMBLED, DISASSEMBLED",To take an assembly apart,DISASSEMBLE THE VALVE ASSEMBLY.,2-1-D13
IGNORE,"IGNORES, IGNORED, IGNORED","Not to think about something, not to do something about",IGNORE THE VIBRATION INDICATIONS. | SELECT “CANCEL” TO IGNORE ALL CHANGES.,2-1-I1
PRESSURIZE,"PRESSURIZES, PRESSURIZED, PRESSURIZED",To supply pressure,PRESSURIZE THE CHAMBER TO 150 psi.,2-1-P10
SWALLOW,"SWALLOWS, SWALLOWED, SWALLOWED",To take through the mouth and esophagus into the stomach,"IF YOU SWALLOW NITRIC ACID, DO NOT CAUSE VOMITING. | GET MEDICAL AID IMMEDIATELY.",2-1-S30
DISCARD,"DISCARDS, DISCARDED, DISCARDED",To not use again,REMOVE THE O-RINGS AND DISCARD THEM.,2-1-D13
ILLUMINATE,"ILLUMINATES, ILLUMINATED, ILLUMINATED",To make something visible with an external light source COME ON BE ON,"THE EMERGENCY LIGHTS COME ON TO ILLUMINATE THE EVACUATION PATH. | WHEN THE PRESSURE LIGHT COMES ON, READ THE VALUE ON THE PRESSURE GAUGE. | MAKE SURE THAT THE LAMP COMES ON. | MAKE SURE THAT THE LAMP IS ON.",2-1-I2
PREVENT,"PREVENTS, PREVENTED, PREVENTED",To make sure that something does not occur,"TO PREVENT DAMAGE TO THE ENGINE, IMMEDIATELY INSTALL PROTECTIVE COVERS ON ALL OPENINGS.",2-1-P11
BALANCE,"BALANCES, BALANCED, BALANCED",To make equal,BALANCE THE ELECTRICAL LOADS ON EACH GENERATOR.,2-1-B2
DISCONNECT,"DISCONNECTS, DISCONNECTED, DISCONNECTED","To separate something from the thing that it is connected to, or to become separated","DISCONNECT THE POWER SUPPLY. | WHEN YOU TOUCH THIS ICON, THE COMPUTER DISCONNECTS FROM THE INTERNET.",2-1-D13
INCLUDE,"INCLUDES, INCLUDED, INCLUDED","To make, or to be, part of",THIS CHAPTER INCLUDES THE PROCEDURES FOR THE REMOVAL OF THE COMPONENTS.,2-1-I6
PROTRUDE,PROTRUDES PROTRUDED PROTRUDED,To be farther forward or out from an adjacent surface,"IF THE POP-OUT INDICATOR PROTRUDES, REPLACE THE FILTER ELEMENT.",2-1-P16
TAG,"TAGS, TAGGED, TAGGED",To put a tag on,"OPEN AND TAG THE CIRCUIT BREAKERS. | THEN, SAFETY THEM.",2-1-T1
BE,"IS, WAS, (also ARE, WERE)","1. To occur, exist 2. To have a property, to be equal to","IF THERE IS CORROSION ON THE PUMP VANES, REPLACE THE PUMP. | ACID SOLUTIONS ARE DANGEROUS.",2-1-B3
DISENGAGE,"DISENGAGES, DISENGAGED, DISENGAGED",To release or become released from something that engages,"BEFORE YOU START THE ENGINE, DISENGAGE THE CLUTCH. | IF THERE IS A MALFUNCTION, THE GEARS WILL AUTOMATICALLY DISENGAGE.",2-1-D14
INCREASE,"INCREASES, INCREASED, INCREASED",To make or become larger or higher in value,INCREASE THE VANE ANGLE TO 90 DEGREES. | MAKE SURE THAT THE TEMPERATURE INCREASES TO 30 °C.,2-1-I8
PULL,"PULLS, PULLED, PULLED",To use a force on something to move it toward the source of the force,PULL THE CABLE DOWN AND AWAY FROM THE BRACKET.,2-1-P17
TAP,"TAPS, TAPPED, TAPPED",To hit lightly and quickly,TAP THE BOLT WITH A MALLET.,2-1-T1
BECOME,"BECOMES, BECAME",To come to be,THE SCREEN BECOMES AVAILABLE.,2-1-B3
DIVIDE,"DIVIDES, DIVIDED, DIVIDED",1. To separate into parts or groups 2. To do mathematical division,"YOU CAN DIVIDE THE DRAINS INTO THREE GROUPS. | THE PRESSURE LINES DIVIDE AND GO IN DIFFERENT DIRECTIONS. | TO FIND THE MIDDLE POINT, DIVIDE THE MEASURED CLEARANCE BY TWO.",2-1-D16
INFLATE,"INFLATES, INFLATED, INFLATED",To make or become larger as a result of pressurization by a gas,"INFLATE THE TIRES WITH NITROGEN. | OPERATION OF THE HANDLE RELEASES THE GAS, AND THE SLIDE-RAFT INFLATES.",2-1-I9
PUSH,"PUSHES, PUSHED, PUSHED",1. To apply a force to something to move it away from the source of the force 2. To move with a force against something,PUSH THE INSERT DOWN UNTIL IT TOUCHES THE BOTTOM OF THE HOLE. | THE SPRING UNIT PUSHES AGAINST THE BRAKE PEDAL.,2-1-P18
TELL,"TELLS, TOLD, TOLD",To give an order or supply information,PUT A WARNING NOTICE IN THE ENTRANCE TO TELL VISITORS ABOUT THE SAFETY PRECAUTIONS. | THE COMPUTER TELLS THE TECHNICIAN THE ERROR CODE.,2-1-T2
BEND,,The area where something is bent,EXAMINE THE BENDS FOR CRACKS.,2-1-B4
DO,"DOES, DID, DONE","1. To complete a procedure, task, or step 2. As an auxiliary verb a. As part of a b. As part of a",DO A FUNCTIONAL TEST. | DO NOT BREATHE THE SOLVENT FUMES. | DOES THE LIGHT COME ON?,2-1-D16
INSTALL,"INSTALLS, INSTALLED, INSTALLED",To attach an item in or to a second item,INSTALL THE NEW O-RINGS ON THE SPINDLE.,2-1-I11
PUT,"PUTS, PUT",To cause something to move or to be in a specified position or condition,PUT THE ADAPTER IN POSITION AGAINST ITS SUPPORT. | PUT THE LEVER BACK TO ITS INITIAL POSITION.,2-1-P18
THINK,"THINKS, THOUGHT, THOUGHT",To have an opinion,"IF YOU THINK THAT THE WATER WILL FREEZE, ADD ANTIFREEZE.",2-1-T5
BLEED,"BLEEDS, BLED, BLED",To let a gas out of,BLEED THE SPEEDBRAKE HYDRAULIC SYSTEM.,2-1-B5
DRAIN,"DRAINS, DRAINED, DRAINED",To remove liquid,DRAIN THE SYSTEM FULLY.,2-1-D17
INTERCHANGE,"INTERCHANGES, INTERCHANGED, INTERCHANGED",To put or use each of two things in the place of the other without change,INTERCHANGE THE No. | 1 AND No. | 2 COMPUTERS. | THEN DO THE TEST AGAIN.,2-1-I12
PUT ON,"PUTS ON, PUT ON","To cover your skin or face with clothing, or other items that give protection",PUT ON SAFETY GOGGLES AND PROTECTIVE CLOTHING.,2-1-P18
TIGHTEN,"TIGHTENS, TIGHTENED, TIGHTENED",To cause to be tight,TIGHTEN THE SCREWS.,2-1-T6
BLOW,"BLOWS, BLEW, BLOWN",To cause gas to move,BLOW DRY AIR THROUGH THE FEED TUBES.,2-1-B6
DRINK,"DRINKS, DRANK,",To consume liquid,DO NOT DRINK IN THE WORK AREA. | DO NOT SWALLOW THE SOLVENT.,2-1-D18
